Id,Total Earned Credits,Remaining Credits,BIF205,BIF243,BIF244,BIF245,BIF310,BIF375,BIF415,CSC201,CSC206,CSC241,CSC243,CSC245,CSC310,CSC320,CSC322,CSC326,CSC375,CSC412,CSC430,CSC435,CSC443,CSC447,CSC458,CSC460,CSC461,CSC480,CSC490,CSC491,CSC599,CSC615,MTH101,MTH102,MTH201,MTH206,MTH207,MTH301,MTH303,MTH304,MTH305,MTH307,MTH311,MTH401,MTH403,MTH409,STA102,STA205,STA302,CSC243B,CSC245B,CSC498B,CSC498G,CSC498H,CSC498P,CSC498X,CSC599H,CSC498AC,CSC498AD,CSC498AE,CSC498HJ,CSC498HM
stu1,70,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu2,30,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu3,24,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu4,18,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu5,10,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu6,69,53,Y,,,,,,,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu7,111,11,,Y,,Y,,,Y,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu8,88,34,,Y,,Y,,,Y,,,Y,,,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,
stu9,104,18,,Y,,Y,,,Y,,,,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu10,77,45,,Y,,Y,Y,,,,,,,,,Y,Y,Y,Y,,,Y,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu11,62,60,,Y,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu12,63,59,,Y,,Y,,Y,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
stu13,50,72,,Y,,Y,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu14,58,64,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
stu15,36,86,,Y,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu16,37,85,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu17,30,92,,Y,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu18,113,9,,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,,,Y,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,Y,,
stu19,89,33,,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu20,91,31,,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu21,43,79,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu22,37,85,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu23,29,93,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu24,82,40,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,Y,Y,,,Y,Y,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,
stu25,70,52,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu26,30,92,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,
stu27,128,-6,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
stu28,176,-54,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,,Y,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,Y,,Y,,,,,,Y,
stu29,114,8,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,Y,,,Y,Y,,,,,Y,,Y,,,Y,,Y,,,,,,,Y,,,,Y,,,,,,,,,
stu30,84,38,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,,Y,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu31,120,2,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,Y,,,Y,,,,,,,
stu32,80,42,,,,,,,,Y,,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,Y,,,,,,,,,,Y,,,,,,,,,,,
stu33,114,8,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,Y,,,,,,,
stu34,73,49,,,,,,,,Y,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
stu35,77,45,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,
stu36,63,59,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stu37,80,42,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,
stu38,65,57,,,,,,,,Y,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu39,43,79,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu40,79,43,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu41,75,47,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu42,74,48,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu43,61,61,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu44,61,61,,,,,,,,Y,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu45,58,64,,,,,,,,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,
stu46,78,44,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
stu47,41,81,,,,,,,,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu48,44,78,,,,,,,,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu49,24,98,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,
stu50,105,17,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu51,106,16,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu52,118,4,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,Y,,,,
stu53,106,16,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu54,110,12,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,
stu55,112,10,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu56,76,46,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,
stu57,103,19,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,Y,,,,,,
stu58,106,16,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu59,103,19,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu60,109,13,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu61,112,10,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu62,106,16,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu63,88,34,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu64,97,25,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu65,92,30,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,Y,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,,Y,,,,,,,,,,,Y,,,,,,,,,
stu66,106,16,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y
stu67,107,15,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu68,100,22,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,Y,,
stu69,109,13,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu70,103,19,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu71,77,45,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,
stu72,85,37,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu73,104,18,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu74,78,44,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,,,Y,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu75,101,21,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu76,108,14,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu77,79,43,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu78,61,61,,,,,,,,,Y,,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu79,29,93,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu80,67,55,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu81,73,49,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu82,70,52,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu83,67,55,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu84,63,59,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Y,,,,,,,,,Y,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu85,49,73,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu86,56,66,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu87,71,51,,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu88,49,73,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu89,50,72,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu90,36,86,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu91,95,27,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,
stu92,101,21,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu93,118,4,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,Y,,,,,,Y,,,,Y,,
stu94,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu95,107,15,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu96,74,48,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
stu97,107,15,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu98,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu99,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu100,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu101,103,19,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu102,106,16,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu103,66,56,,,,,,,,,,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,
stu104,82,40,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,,Y,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu105,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu106,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu107,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
stu108,61,61,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,,,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu109,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,
stu110,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu111,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu112,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu113,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu114,52,70,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu115,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,,,Y,Y,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu116,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,
