Id,Total Earned Credits,Remaining Credits,BIF205,BIF243,BIF244,BIF245,BIF310,BIF375,BIF415,CSC201,CSC206,CSC241,CSC243,CSC245,CSC310,CSC320,CSC322,CSC326,CSC375,CSC412,CSC430,CSC435,CSC443,CSC447,CSC458,CSC460,CSC461,CSC480,CSC490,CSC491,CSC599,CSC615,MTH101,MTH102,MTH201,MTH206,MTH207,MTH301,MTH303,MTH304,MTH305,MTH307,MTH311,MTH401,MTH403,MTH409,STA102,STA205,STA302,CSC243B,CSC245B,CSC498B,CSC498G,CSC498H,CSC498P,CSC498X,CSC599H,CSC498AC,CSC498AD,CSC498AE,CSC498HJ,CSC498HM
stu117,95,27,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,
stu118,118,4,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,Y,,,,,Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,Y,,,
stu119,78,44,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu120,111,11,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu121,91,31,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,Y,Y,Y,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu122,101,21,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,
stu123,119,3,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,
stu124,79,43,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,Y,Y,,,,Y,Y,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,
stu125,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,Y,Y,,,,,,
stu126,143,-21,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,Y,Y,Y,,,Y,,,,,,,,,,Y,Y,,,,Y,,,,,,,
stu127,121,1,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,Y,,,,,Y,,,Y,,,
stu128,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,,,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,
stu129,105,17,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,
stu130,90,32,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,,Y,Y,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu131,101,21,,,,,,,,,,,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,,Y,Y,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
stu132,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,Y,,,,,,,,,
stu133,101,21,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu134,35,87,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu135,85,37,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu136,108,14,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu137,124,-2,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu138,83,39,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu139,120,2,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,Y,,,
stu140,110,12,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu141,26,96,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
stu142,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,
stu143,115,7,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,Y,,,,,,
stu144,115,7,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,
stu145,94,28,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,,,,Y,Y,Y,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,Y,,
stu146,79,43,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu147,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu148,94,28,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu149,69,53,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,Y,Y,,,,Y,,,,,,,
stu150,93,29,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,,,,,Y,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu151,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu152,85,37,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,Y,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,
stu153,104,18,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu154,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu155,91,31,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,Y,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu156,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu157,97,25,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,Y,,,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,
stu158,97,25,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu159,56,66,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,Y,,,,,,,,,Y,Y,,,,Y,,,,,,,
stu160,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu161,70,52,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu162,76,46,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,Y,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
stu163,116,6,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu164,79,43,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu165,104,18,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu166,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu167,82,40,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,,,,Y,,,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,
stu168,94,28,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,
stu169,103,19,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu170,49,73,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu171,82,40,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu172,98,24,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu173,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu174,118,4,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu175,75,47,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,Y,,,,,,,,,
stu176,111,11,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu177,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu178,110,12,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu179,82,40,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,
stu180,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu181,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu182,95,27,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,,Y,Y,Y,,,,Y,,Y,,,Y,,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu183,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu184,73,49,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
stu185,76,46,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu186,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,
stu187,82,40,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu188,67,55,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu189,97,25,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu190,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu191,68,54,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,,
stu192,67,55,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu193,104,18,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,Y,Y,,,,,,,
stu194,97,25,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu195,107,15,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,Y,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,Y,Y,,,,,,,
stu196,88,34,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu197,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y,Y,,,,,,
stu198,106,16,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu199,116,6,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,,,,,
stu200,83,39,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,Y,,,,,,,,,
stu201,85,37,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,,,,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu202,104,18,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,,,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu203,125,-3,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu204,109,13,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,,,,Y,,Y,Y,,,Y,Y,,,,,,,,,,Y,,,,Y,,,,,,
stu205,48,74,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,
stu206,85,37,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,Y,,,Y,,,Y,Y,,,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,,
stu207,53,69,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu208,85,37,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,Y,Y,Y,,,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
stu209,84,38,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,Y,Y,,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,
stu210,124,-2,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu211,91,31,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,Y,,,,,,Y,,Y,,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,
stu212,58,64,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu213,76,46,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu214,80,42,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,,Y,Y,,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,
stu215,73,49,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,Y,,,,,,,
stu216,73,49,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu217,70,52,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu218,73,49,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu219,72,50,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu220,54,68,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,Y,,,,,,,,,,,
stu221,73,49,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu222,79,43,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu223,47,75,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,
stu224,67,55,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu225,61,61,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,
stu226,70,52,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,
stu227,66,56,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
stu228,67,55,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,,Y,Y,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,Y,,,,,,,
stu229,79,43,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,
stu230,76,46,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
stu231,70,52,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,
stu232,52,70,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu233,61,61,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,
stu234,55,67,,,,,,,,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
